path,title,creator_or_rights_holder,source_url,original_license_or_terms,license_url_or_notes
other-spacecraft/clementine/clementine-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from clementine.svg via tools/render_pngs.mjs
other-spacecraft/clementine/clementine-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from clementine.svg via tools/render_pngs.mjs
other-spacecraft/clementine/clementine-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
other-spacecraft/clementine/clementine.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
other-spacecraft/geotail/geotail-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from geotail.svg via tools/render_pngs.mjs
other-spacecraft/geotail/geotail-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from geotail.svg via tools/render_pngs.mjs
other-spacecraft/geotail/geotail-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
other-spacecraft/geotail/geotail.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
other-spacecraft/ibex/ibex-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from ibex.svg via tools/render_pngs.mjs
other-spacecraft/ibex/ibex-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from ibex.svg via tools/render_pngs.mjs
other-spacecraft/ibex/ibex-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
other-spacecraft/ibex/ibex.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/ace/ace-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from ace.svg via tools/render_pngs.mjs
satellites/ace/ace-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from ace.svg via tools/render_pngs.mjs
satellites/ace/ace-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/ace/ace-photo.png,File:ACE spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACE_spacecraft_model.png,Public domain,https://commons.wikimedia.org/wiki/File:ACE_spacecraft_model.png
satellites/ace/ace-photo-cut-512px.png,File:ACE spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACE_spacecraft_model.png,Public domain,"derivative of ace-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/ace/ace-photo-cut-1024px.png,File:ACE spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACE_spacecraft_model.png,Public domain,"derivative of ace-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/ace/ace.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/acrimsat/acrimsat-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from acrimsat.svg via tools/render_pngs.mjs
satellites/acrimsat/acrimsat-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from acrimsat.svg via tools/render_pngs.mjs
satellites/acrimsat/acrimsat-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/acrimsat/acrimsat-photo-cut-1024px.png,File:ACRIMSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACRIMSat_spacecraft_model.png,Public domain,"derivative of acrimsat-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/acrimsat/acrimsat-photo-cut-512px.png,File:ACRIMSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACRIMSat_spacecraft_model.png,Public domain,"derivative of acrimsat-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/acrimsat/acrimsat-photo.png,File:ACRIMSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:ACRIMSat_spacecraft_model.png,Public domain,https://commons.wikimedia.org/wiki/File:ACRIMSat_spacecraft_model.png
satellites/acrimsat/acrimsat.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-2/alos-2-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from alos-2.svg via tools/render_pngs.mjs
satellites/alos-2/alos-2-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from alos-2.svg via tools/render_pngs.mjs
satellites/alos-2/alos-2-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-2/alos-2.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-4/alos-4-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from alos-4.svg via tools/render_pngs.mjs
satellites/alos-4/alos-4-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from alos-4.svg via tools/render_pngs.mjs
satellites/alos-4/alos-4-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/alos-4/alos-4.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/amazonia-1/amazonia-1-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from amazonia-1.svg via tools/render_pngs.mjs
satellites/amazonia-1/amazonia-1-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from amazonia-1.svg via tools/render_pngs.mjs
satellites/amazonia-1/amazonia-1-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/amazonia-1/amazonia-1-photo.jpg,File:Amazonia 1 PMM with Payload Module.jpg,CPTEC - INPE,https://commons.wikimedia.org/wiki/File:Amazonia_1_PMM_with_Payload_Module.jpg,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Amazonia_1_PMM_with_Payload_Module.jpg
satellites/amazonia-1/amazonia-1.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/aws/aws-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from aws.svg via tools/render_pngs.mjs
satellites/aws/aws-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from aws.svg via tools/render_pngs.mjs
satellites/aws/aws-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/aws/aws.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cfosat/cfosat-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cfosat.svg via tools/render_pngs.mjs
satellites/cfosat/cfosat-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cfosat.svg via tools/render_pngs.mjs
satellites/cfosat/cfosat-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cfosat/cfosat.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cloudsat/cloudsat-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cloudsat.svg via tools/render_pngs.mjs
satellites/cloudsat/cloudsat-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cloudsat.svg via tools/render_pngs.mjs
satellites/cloudsat/cloudsat-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cloudsat/cloudsat-photo-cut-1024px.png,File:CloudSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CloudSat_spacecraft_model.png,Public domain,"derivative of cloudsat-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/cloudsat/cloudsat-photo-cut-512px.png,File:CloudSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CloudSat_spacecraft_model.png,Public domain,"derivative of cloudsat-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/cloudsat/cloudsat-photo.png,File:CloudSat spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CloudSat_spacecraft_model.png,Public domain,https://commons.wikimedia.org/wiki/File:CloudSat_spacecraft_model.png
satellites/cloudsat/cloudsat.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cryosat-2/cryosat-2-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cryosat-2.svg via tools/render_pngs.mjs
satellites/cryosat-2/cryosat-2-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cryosat-2.svg via tools/render_pngs.mjs
satellites/cryosat-2/cryosat-2-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cryosat-2/cryosat-2.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/csg-2/csg-2-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from csg-2.svg via tools/render_pngs.mjs
satellites/csg-2/csg-2-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from csg-2.svg via tools/render_pngs.mjs
satellites/csg-2/csg-2-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/csg-2/csg-2.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cygnss/cygnss-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cygnss.svg via tools/render_pngs.mjs
satellites/cygnss/cygnss-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from cygnss.svg via tools/render_pngs.mjs
satellites/cygnss/cygnss-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/cygnss/cygnss-photo-cut-1024px.png,File:CYGNSS spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CYGNSS_spacecraft_model.png,Public domain,"derivative of cygnss-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/cygnss/cygnss-photo-cut-512px.png,File:CYGNSS spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CYGNSS_spacecraft_model.png,Public domain,"derivative of cygnss-photo.png — cropped; alpha taken from the source file's own channel (tools/process_photos.py, no matting); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/cygnss/cygnss-photo.png,File:CYGNSS spacecraft model.png,NASA,https://commons.wikimedia.org/wiki/File:CYGNSS_spacecraft_model.png,Public domain,https://commons.wikimedia.org/wiki/File:CYGNSS_spacecraft_model.png
satellites/cygnss/cygnss.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dscovr/dscovr-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dscovr.svg via tools/render_pngs.mjs
satellites/dscovr/dscovr-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dscovr.svg via tools/render_pngs.mjs
satellites/dscovr/dscovr-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dscovr/dscovr-photo.jpg,File:DSCOVR rendering (white bg).jpg,NOAA/NASA,https://commons.wikimedia.org/wiki/File:DSCOVR_rendering_(white_bg).jpg,Public domain,https://commons.wikimedia.org/wiki/File:DSCOVR_rendering_(white_bg).jpg
satellites/dscovr/dscovr-photo-cut-512px.png,File:DSCOVR rendering (white bg).jpg,NOAA/NASA,https://commons.wikimedia.org/wiki/File:DSCOVR_rendering_(white_bg).jpg,Public domain,"derivative of dscovr-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 isnet-general-use); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/dscovr/dscovr-photo-cut-1024px.png,File:DSCOVR rendering (white bg).jpg,NOAA/NASA,https://commons.wikimedia.org/wiki/File:DSCOVR_rendering_(white_bg).jpg,Public domain,"derivative of dscovr-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 isnet-general-use); licence deed: https://creativecommons.org/publicdomain/mark/1.0/"
satellites/dscovr/dscovr.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dubaisat-1/dubaisat-1-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dubaisat-1.svg via tools/render_pngs.mjs
satellites/dubaisat-1/dubaisat-1-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dubaisat-1.svg via tools/render_pngs.mjs
satellites/dubaisat-1/dubaisat-1-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dubaisat-1/dubaisat-1-photo-cut-1024px.png,File:DubaiSat-1.jpg,Mohammed Bin Rashid Space Centre,https://commons.wikimedia.org/wiki/File:DubaiSat-1.jpg,CC BY-SA 3.0,"derivative of dubaisat-1-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 u2net); licence deed: https://creativecommons.org/licenses/by-sa/3.0/"
satellites/dubaisat-1/dubaisat-1-photo-cut-512px.png,File:DubaiSat-1.jpg,Mohammed Bin Rashid Space Centre,https://commons.wikimedia.org/wiki/File:DubaiSat-1.jpg,CC BY-SA 3.0,"derivative of dubaisat-1-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 u2net); licence deed: https://creativecommons.org/licenses/by-sa/3.0/"
satellites/dubaisat-1/dubaisat-1-photo.jpg,File:DubaiSat-1.jpg,Mohammed Bin Rashid Space Centre,https://commons.wikimedia.org/wiki/File:DubaiSat-1.jpg,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:DubaiSat-1.jpg
satellites/dubaisat-1/dubaisat-1.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dubaisat-2/dubaisat-2-1024px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dubaisat-2.svg via tools/render_pngs.mjs
satellites/dubaisat-2/dubaisat-2-512px.png,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,rendered from dubaisat-2.svg via tools/render_pngs.mjs
satellites/dubaisat-2/dubaisat-2-icon.svg,,repo maintainers,https://github.com/eo-gos/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/dubaisat-2/dubaisat-2-photo-cut-1024px.png,File:DubaiSat-2 (cropped).jpg,Emirates Institution for Advanced Science and Technology,https://commons.wikimedia.org/wiki/File:DubaiSat-2_(cropped).jpg,CC BY-SA 3.0,"derivative of dubaisat-2-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 u2net); licence deed: https://creativecommons.org/licenses/by-sa/3.0/"
satellites/dubaisat-2/dubaisat-2-photo-cut-512px.png,File:DubaiSat-2 (cropped).jpg,Emirates Institution for Advanced Science and Technology,https://commons.wikimedia.org/wiki/File:DubaiSat-2_(cropped).jpg,CC BY-SA 3.0,"derivative of dubaisat-2-photo.jpg — cropped, background removed (tools/process_photos.py, rembg 2.0.59 u2net); licence deed: https://creativecommons.org/licenses/by-sa/3.0/"
